,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Atuona,3,PF,1597780296,74,-9.8,-139.03,79.2,21.5
1,Te Anau,100,NZ,1597780296,89,-45.42,167.72,42.94,2.1
2,Mataura,100,NZ,1597780297,81,-46.19,168.86,43.84,5.08
3,Rikitea,0,PF,1597780297,79,-23.12,-134.97,72.05,10.85
4,Saint George,1,US,1597780297,13,37.1,-113.58,106.0,6.17
5,Flinders,0,AU,1597780297,63,-34.58,150.86,55.0,3.0
6,Jepelacio,88,PE,1597780297,59,-6.12,-76.95,80.8,4.14
7,Muros,100,ES,1597780297,87,42.78,-9.06,69.01,11.01
8,Torbay,90,CA,1597780297,77,47.67,-52.73,62.01,21.92
9,Gamba,100,GA,1597780232,88,-2.65,10.0,73.76,10.42
10,Grindavik,75,IS,1597780298,100,63.84,-22.43,51.8,14.99
11,George Town,20,MY,1597780298,94,5.41,100.34,80.6,5.82
12,Kolodeznyy,38,RU,1597780298,68,51.33,39.18,64.4,4.47
13,Clyde River,75,CA,1597780037,59,70.47,-68.59,60.8,5.82
14,Cape Town,20,ZA,1597780224,66,-33.93,18.42,52.0,8.05
15,Punta Arenas,40,CL,1597780299,47,-53.15,-70.92,37.4,17.22
16,Lebu,67,CL,1597780223,68,-37.62,-73.65,49.75,10.29
17,Alofi,37,NU,1597780299,94,-19.06,-169.92,73.4,9.17
18,Hong Kong,75,HK,1597780298,94,22.29,114.16,80.01,31.09
19,Vaini,90,TO,1597780299,100,-21.2,-175.2,73.4,29.55
20,Kushima,67,JP,1597780299,76,31.46,131.23,79.39,3.42
21,Busselton,34,AU,1597780299,76,-33.65,115.33,42.01,6.49
22,Saint-Philippe,46,RE,1597780300,77,-21.36,55.77,69.8,4.7
23,Albany,12,US,1597780300,46,42.6,-73.97,80.01,10.92
24,Ushuaia,90,AR,1597780300,74,-54.8,-68.3,33.8,16.11
25,Arraial do Cabo,52,BR,1597780301,78,-22.97,-42.03,78.8,14.99
26,Beringovskiy,3,RU,1597780301,61,63.05,179.32,51.66,10.74
27,Faanui,0,PF,1597780202,78,-16.48,-151.75,78.3,18.34
28,Upernavik,100,GL,1597780221,53,72.79,-56.15,50.31,5.19
29,Tiksi,93,RU,1597780302,84,71.69,128.87,38.5,11.92
30,Bad Freienwalde,100,DE,1597780302,79,52.79,14.03,68.0,5.91
31,Santa Cruz Cabrália,40,BR,1597780303,69,-16.28,-39.02,77.0,6.93
32,Tuatapere,100,NZ,1597780303,85,-46.13,167.68,44.38,7.25
33,Lavrentiya,89,RU,1597780303,72,65.58,-171.0,50.52,4.34
34,Cherskiy,100,RU,1597780080,83,68.75,161.3,42.44,10.16
35,Barrow,90,US,1597780166,93,71.29,-156.79,46.4,14.99
36,Kaitangata,100,NZ,1597780228,73,-46.28,169.85,46.99,4.0
37,Benjamín Hill,0,MX,1597780304,37,30.17,-111.1,99.0,5.01
38,Butaritari,2,KI,1597780304,71,3.07,172.79,82.92,10.11
39,Port Elizabeth,59,ZA,1597780304,81,-33.92,25.57,51.8,24.16
40,Kirakira,78,SB,1597780305,84,-10.45,161.92,79.16,7.54
41,Haines Junction,99,CA,1597780305,66,60.75,-137.51,53.91,1.52
42,Longyearbyen,75,SJ,1597780305,75,78.22,15.64,42.8,11.41
43,Qaanaaq,100,GL,1597780237,82,77.48,-69.36,44.74,10.45
44,Talnakh,27,RU,1597780305,62,69.49,88.4,57.2,6.71
45,Newala,17,TZ,1597780305,93,-10.94,39.28,63.86,8.93
46,Ambon City,47,ID,1597780306,16,-3.7,128.18,75.0,9.22
47,Necochea,91,AR,1597780306,56,-38.55,-58.74,48.99,15.01
48,Kuala Sungai Baru,20,MY,1597780306,94,2.36,102.04,77.0,7.85
49,Grand Gaube,7,MU,1597780306,74,-20.01,57.66,71.01,5.01
50,Iqaluit,75,CA,1597780306,81,63.75,-68.51,44.6,13.87
51,Salta,0,AR,1597780286,9,-24.79,-65.41,84.2,5.82
52,Marystown,100,CA,1597780307,94,47.17,-55.15,61.63,24.05
53,Avarua,72,CK,1597780307,73,-21.21,-159.78,73.4,12.75
54,Norman Wells,75,CA,1597780307,71,65.28,-126.83,57.2,3.36
55,Codrington,100,AU,1597780307,95,-38.27,141.97,46.92,7.63
56,City of San Pedro,100,PH,1597780307,94,14.35,121.02,79.0,1.12
57,Kapaa,20,US,1597780232,65,22.08,-159.32,84.0,16.11
58,Bluff,100,NZ,1597780308,77,-46.6,168.33,47.17,14.09
59,Salima,0,MW,1597780308,58,-13.78,34.46,67.24,2.28
60,Bethel,20,US,1597780308,42,41.37,-73.41,82.99,10.29
61,Nanjing,0,CN,1597780135,83,32.06,118.78,84.99,4.47
62,Hūn,0,LY,1597780309,17,29.13,15.95,92.37,11.27
63,Shelabolikha,40,RU,1597780309,72,53.41,82.62,59.0,6.71
64,Mehamn,75,NO,1597780309,76,71.04,27.85,51.8,13.87
65,Getulio Vargas,7,UY,1597780309,75,-32.68,-53.55,63.75,7.4
66,Emerald,0,AU,1597780309,52,-23.53,148.17,66.2,4.7
67,Port Alfred,85,ZA,1597780309,70,-33.59,26.89,53.69,32.5
68,Ostrovnoy,0,RU,1597780310,76,68.05,39.51,45.52,7.14
69,Vila do Maio,75,CV,1597780310,78,15.13,-23.22,82.4,6.93
70,Yellowknife,75,CA,1597780245,77,62.46,-114.35,62.6,8.05
71,Philadelphia,75,US,1597780150,48,39.95,-75.16,86.0,10.18
72,Airai,76,TL,1597780310,73,-8.93,125.41,54.66,2.42
73,Wilmington,75,US,1597780272,55,34.23,-77.94,90.0,7.47
74,Meadow Lake,20,US,1597780310,23,34.8,-106.54,93.0,4.7
75,Qaqortoq,20,GL,1597780080,42,60.72,-46.03,64.4,6.93
76,Lorengau,53,PG,1597780311,78,-2.02,147.27,81.09,7.4
77,Vredendal,99,ZA,1597780311,67,-31.67,18.5,48.49,8.05
78,Khatanga,82,RU,1597780311,71,71.97,102.5,48.96,12.37
79,Ahipara,73,NZ,1597780311,92,-35.17,173.17,58.51,9.86
80,Ribeira Grande,75,PT,1597780311,94,38.52,-28.7,75.2,25.28
81,Udachny,94,RU,1597780311,53,66.42,112.4,50.0,2.24
82,Sayyan,92,YE,1597780311,48,15.17,44.32,68.79,5.84
83,Jamestown,40,US,1597780312,56,42.1,-79.24,72.0,17.22
84,East London,78,ZA,1597780312,65,-33.02,27.91,53.2,33.6
85,Sola,75,VU,1597780312,87,-13.88,167.55,78.73,9.48
86,Leningradskiy,15,RU,1597780284,58,69.38,178.42,47.44,4.94
87,Luang Prabang,100,LA,1597780313,88,19.89,102.13,71.96,1.16
88,Muisne,75,EC,1597780313,74,0.6,-80.03,80.6,11.41
89,Pisco,3,PE,1597780314,68,-13.7,-76.22,68.0,13.87
90,Saldanha,100,ZA,1597780314,76,-33.01,17.94,50.0,4.7
91,Dunedin,100,NZ,1597780038,71,-45.87,170.5,46.99,8.55
92,Kupang,91,ID,1597780314,82,-10.17,123.58,71.49,5.19
93,Ellisras,0,ZA,1597780314,31,-23.66,27.74,58.03,11.86
94,Samarai,93,PG,1597780314,68,-10.62,150.67,73.35,6.67
95,Saint Paul Harbor,1,US,1597780314,63,57.79,-152.41,60.8,6.93
96,Tilzapotla,20,MX,1597780315,50,18.48,-99.27,78.8,3.36
97,Tuktoyaktuk,40,CA,1597780183,67,69.45,-133.04,57.2,9.17
98,Andenes,75,NO,1597780315,93,69.31,16.12,50.0,10.29
99,La Gomera,40,GT,1597780315,62,14.08,-91.05,89.6,16.11
100,Khandyga,0,RU,1597780315,95,62.67,135.6,40.5,1.9
101,Arrondissement de Provins,53,FR,1597780315,64,48.58,3.17,71.01,4.7
102,Jati,100,PK,1597780315,76,24.35,68.27,85.01,14.29
103,Mar del Plata,100,AR,1597780316,62,-38.0,-57.56,53.01,12.75
104,Chokurdakh,65,RU,1597780316,86,70.63,147.92,35.6,6.8
105,Hilo,75,US,1597780037,61,19.73,-155.09,82.4,8.05
106,Tasiilaq,40,GL,1597780316,71,65.61,-37.64,51.8,3.36
107,Banjar,40,ID,1597780316,100,-8.19,114.97,77.0,9.17
108,Carnarvon,54,AU,1597780291,77,-24.87,113.63,59.0,10.29
109,Rocha,0,UY,1597780316,64,-34.48,-54.33,62.87,3.74
110,Gwadar,80,PK,1597780317,83,25.12,62.33,82.4,7.63
111,Puerto Ayora,40,EC,1597780317,61,-0.74,-90.35,78.8,16.11
112,Nikolskoye,4,RU,1597780317,71,59.7,30.79,57.2,4.47
113,Hermanus,84,ZA,1597780317,91,-34.42,19.23,45.0,8.68
114,Severo-Kuril'sk,100,RU,1597780317,90,50.68,156.12,50.27,13.11
115,Luganville,20,VU,1597780317,83,-15.53,167.17,75.2,3.36
116,Östersund,93,SE,1597780318,72,63.18,14.64,64.4,10.29
117,Inhambane,20,MZ,1597780318,94,-23.86,35.38,71.6,17.22
