,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Khatanga,1,RU,1597435367,57,71.97,102.5,49.55,15.59
1,Castro,42,BR,1597435221,75,-24.79,-50.01,69.58,5.1
2,Ribeira Grande,40,PT,1597435370,83,38.52,-28.7,75.2,11.41
3,Bachaquero,53,VE,1597435371,61,9.97,-71.15,89.24,8.7
4,Hasaki,20,JP,1597435305,100,35.73,140.83,78.8,3.36
5,Birao,52,CF,1597435373,88,10.28,22.79,74.41,2.84
6,Buenos Aires,56,AR,1597435307,63,-34.61,-58.38,66.0,5.82
7,Santa Maria,90,BR,1597435376,82,-29.68,-53.81,64.4,11.41
8,Taoudenni,28,ML,1597435377,20,22.68,-3.98,104.13,12.86
9,Camopi,1,GF,1597435378,75,3.17,-52.32,85.69,2.24
10,Busselton,22,AU,1597435380,82,-33.65,115.33,55.99,11.21
11,Kaitangata,0,NZ,1597435381,80,-46.28,169.85,34.0,3.0
12,Sørland,75,NO,1597435382,87,67.67,12.69,53.6,17.22
13,Kalabo,0,ZM,1597435383,25,-14.97,22.68,64.54,4.65
14,Sabang,62,ID,1597435385,80,5.89,95.32,82.38,12.73
15,East London,0,ZA,1597435386,58,-33.02,27.91,60.91,9.22
16,Tasiilaq,20,GL,1597435387,40,65.61,-37.64,53.6,3.36
17,Ushuaia,75,AR,1597435235,74,-54.8,-68.3,35.6,4.7
18,Arrondissement de Vesoul,10,FR,1597435390,88,47.58,5.83,68.0,2.24
19,Fare,9,PF,1597435391,80,-16.7,-151.02,79.03,17.6
20,Puerto Madero,20,MX,1597435392,63,14.72,-92.42,91.4,11.41
21,Yellowknife,75,CA,1597435251,77,62.46,-114.35,60.8,18.34
22,Ulvik,20,NO,1597435394,82,60.57,6.92,61.0,13.87
23,George Town,20,MY,1597435271,88,5.41,100.34,80.6,2.24
24,Makat,0,KZ,1597435397,41,47.65,53.35,73.87,8.48
25,Punta Arenas,90,CL,1597435144,80,-53.15,-70.92,33.8,10.29
26,Yekaterinoslavka,100,RU,1597435399,97,50.37,129.11,59.04,8.08
27,Vaini,20,TO,1597435400,72,-21.2,-175.2,68.0,11.41
28,Hobart,90,AU,1597435239,93,-42.88,147.33,50.0,1.5
29,Rikitea,97,PF,1597435403,73,-23.12,-134.97,70.99,12.57
